"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Nick Collison",3000,"UTA@OKC 12/05/2017 08:00PM ET",3.375,"OKC","UTA",0,0,0
"SF/PF","Josh Huestis",3000,"UTA@OKC 12/05/2017 08:00PM ET",6.375,"OKC","UTA",11.27,8.4,0
"SG/SF","Terrance Ferguson",3000,"UTA@OKC 12/05/2017 08:00PM ET",1.946,"OKC","UTA",1.57,0,0
"PG/SG","PJ Dozier",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"OKC","UTA",0,0,0
"SF","Daniel Hamilton",3000,"UTA@OKC 12/05/2017 08:00PM ET",0,"OKC","UTA",0,0,0
"PF","Malcolm Miller",3000,"PHO@TOR 12/05/2017 07:30PM ET",0,"TOR","PHO",0,0,0
"PF","Alfonzo McKinnie",3000,"PHO@TOR 12/05/2017 07:30PM ET",2.964,"TOR","PHO",0,0,0
"PG","Lorenzo Brown",3000,"PHO@TOR 12/05/2017 07:30PM ET",6.063,"TOR","PHO",0,0,0
"SF","Bruno Caboclo",3000,"PHO@TOR 12/05/2017 07:30PM ET",2.375,"TOR","PHO",0,0,0
"PF","Alec Peters",3000,"PHO@TOR 12/05/2017 07:30PM ET",5.625,"PHO","TOR",0,0,0
"PG/SG","Brandon Knight",3000,"PHO@TOR 12/05/2017 07:30PM ET",0,"PHO","TOR",0,0,0
"SF","Derrick Jones",3000,"PHO@TOR 12/05/2017 07:30PM ET",4.417,"PHO","TOR",0,0,0
"SG/SF","Davon Reed",3000,"PHO@TOR 12/05/2017 07:30PM ET",0,"PHO","TOR",0,0,0
