"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Robert Covington",5900,"DET@PHI 12/02/2017 07:30PM ET",30.036,"PHI","DET",31.35,0,49.5
"SG","Kentavious Caldwell-Pope",5900,"LAL@DEN 12/02/2017 09:00PM ET",28.618,"LAL","DEN",27.91,0,13
"SG","Gary Harris",5800,"LAL@DEN 12/02/2017 09:00PM ET",26.842,"DEN","LAL",30.82,0,32
"PG/SG","Dwyane Wade",5600,"MEM@CLE 12/02/2017 07:30PM ET",24.869,"CLE","MEM",23.07,0,29.5
"PG","Mario Chalmers",5600,"MEM@CLE 12/02/2017 07:30PM ET",20.829,"MEM","CLE",16.03,0,11.5
"PG/SG","Avery Bradley",5600,"DET@PHI 12/02/2017 07:30PM ET",26.2,"DET","PHI",27.99,0,10.5
"SF/PF","Kyle Kuzma",5600,"LAL@DEN 12/02/2017 09:00PM ET",27.95,"LAL","DEN",21.15,0,29
"SF/PF","Larry Nance",5500,"LAL@DEN 12/02/2017 09:00PM ET",25.35,"LAL","DEN",22.6,0,10.5
"PF/C","Dario Saric",5400,"DET@PHI 12/02/2017 07:30PM ET",23.964,"PHI","DET",25.09,0,27.25
"SG/SF","JJ Redick",5300,"DET@PHI 12/02/2017 07:30PM ET",26.553,"PHI","DET",24.95,0,33
"PF/C","Willie Cauley-Stein",5200,"SAC@MIL 12/02/2017 08:30PM ET",24.619,"SAC","MIL",24.02,0,5
"PF/C","Julius Randle",5100,"LAL@DEN 12/02/2017 09:00PM ET",24.988,"LAL","DEN",25.52,0,26.5
"SF/PF","Jabari Parker",5100,"SAC@MIL 12/02/2017 08:30PM ET",0,"MIL","SAC",0,0,0
"C","Brook Lopez",5000,"LAL@DEN 12/02/2017 09:00PM ET",25.929,"LAL","DEN",21.35,0,27.75
"PF/C","Zach Randolph",5000,"SAC@MIL 12/02/2017 08:30PM ET",24.803,"SAC","MIL",25.11,0,33.25
"PG/SG","Jamal Murray",4900,"LAL@DEN 12/02/2017 09:00PM ET",21.929,"DEN","LAL",29.46,0,44.5
