Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
80,968673822,MattMackie01 (3/4),0,306.5,PG Victor Oladipo SG Tyreke Evans SF Paul George PF Kyle Kuzma G Austin Rivers C Mason Plumlee F Trey Lyles UTIL Evan Turner,,Dennis Smith Jr.,SG,2.91%,13.75
80,968743238,Secretarian (1/2),0,306.5,PG Kyrie Irving SG Tyreke Evans C Nikola Jokic SF Khris Middleton G Shabazz Napier UTIL Malcolm Brogdon PF Jordan Bell F Bam Adebayo,,Rudy Gay,UTIL,2.88%,13.5
83,968644683,KingRozay3,0,306.25,SG Victor Oladipo SF Khris Middleton C Myles Turner PG Spencer Dinwiddie PF Carmelo Anthony G Caris LeVert F Ersan Ilyasova UTIL Allen Crabbe,,Yogi Ferrell,G,2.86%,12.5
83,968666727,allenf35,0,306.25,G Victor Oladipo C Draymond Green UTIL Eric Bledsoe SG Spencer Dinwiddie PF Otto Porter Jr. PG Elfrid Payton F Domantas Sabonis SF Wes Iwundu,,Kemba Walker,PG,2.86%,33.75
85,968760178,WUL313,0,306,C Karl-Anthony Towns PG Tyreke Evans SF Harrison Barnes G Andrew Wiggins SG Austin Rivers PF Lauri Markkanen UTIL DeMarre Carroll F Bobby Portis,,Mason Plumlee,UTIL,2.84%,14
86,968017014,boomer91 (3/5),0,305.75,PG Victor Oladipo C Myles Turner SG Andrew Wiggins SF Otto Porter Jr. UTIL Elfrid Payton PF Taj Gibson F Nicolas Batum G Isaiah Canaan,,Klay Thompson,SG,2.83%,32.25
86,968216718,marvindwhite (2/3),0,305.75,PG Victor Oladipo UTIL Paul George G Lonzo Ball C Myles Turner PF Rondae Hollis-Jefferson SG Dennis Smith Jr. SF DeMarre Carroll F Joe Harris,,Kentavious Caldwell-Pope,G,2.81%,28.25
86,968745350,paysweekly247 (4/5),0,305.75,F Khris Middleton PG Eric Bledsoe SG Spencer Dinwiddie SF Rondae Hollis-Jefferson C Zach Randolph PF Thaddeus Young G Elfrid Payton UTIL DeMarre Carroll,,Jamal Murray,SG,2.80%,33
89,968732567,iSlaySharks,0,305.5,SF Khris Middleton G Kemba Walker PF T.J. Warren UTIL Harrison Barnes C Myles Turner SG Eric Bledsoe PG Shabazz Napier F Jordan Bell,,Jrue Holiday,PG,2.78%,28
89,968755662,Ahill3rd (1/2),0,305.5,PG Kyrie Irving G Khris Middleton UTIL Harrison Barnes C Myles Turner F Rondae Hollis-Jefferson SG Caris LeVert PF DeMarre Carroll SF Bojan Bogdanovic,,Domantas Sabonis,PF,2.75%,35.25
89,968759982,Shadypeace,0,305.5,PG Tyreke Evans SG Khris Middleton PF Nikola Mirotic C Zach Randolph SF Carmelo Anthony F Taj Gibson G Austin Rivers UTIL J.J. Barea,,Derrick Favors,F,2.64%,24
92,968114579,bigstealz,0,305.25,PG Russell Westbrook SG Tyreke Evans UTIL Paul George SF Kyle Kuzma F Lauri Markkanen G Shabazz Napier PF Frank Kaminsky C Brandan Wright,,Dwight Howard,UTIL,2.62%,47.5
92,968208975,scullyfan4life (2/3),0,305.25,PG Tyreke Evans SG CJ McCollum C Nikola Jokic SF Khris Middleton PF Taj Gibson UTIL Austin Rivers G Bojan Bogdanovic F Tony Snell,,Bobby Portis,PF,2.53%,30.5
92,968613185,Arnie2013 (7/11),0,305.25,PG Tyreke Evans C Nikola Jokic UTIL DeAndre Jordan SG Lou Williams G Austin Rivers PF Julius Randle F Kelly Oubre Jr. SF Wayne Ellington,,Steven Adams,C,2.41%,27.25
95,967926185,Kamden2Easy (1/2),0,305,PG Russell Westbrook SG Tyreke Evans UTIL Lonzo Ball PF Nikola Mirotic G Shabazz Napier SF Bojan Bogdanovic C Jordan Bell F Joe Harris,,Jeremy Lamb,G,2.37%,17
95,968017494,jppop,0,305,UTIL Victor Oladipo F LaMarcus Aldridge PG Lonzo Ball PF T.J. Warren G Marcus Smart SG Shabazz Napier SF Kelly Oubre Jr. C John Henson,,Matthew Dellavedova,UTIL,2.30%,12.25
95,968389409,mrmulligan4702 (1/7),0,305,PG Russell Westbrook UTIL LaMarcus Aldridge F Carmelo Anthony G Elfrid Payton C Julius Randle SG Joe Ingles SF Wesley Matthews PF Dirk Nowitzki,,Justin Holiday,SG,2.25%,24.25
95,968554994,madison.miller128 (5/8),0,305,C Draymond Green UTIL Paul George PG Lou Williams F Jonathon Simmons G Elfrid Payton SG Will Barton SF Marcus Smart PF Willie Cauley-Stein,,Thaddeus Young,UTIL,2.22%,16.5
95,968675640,mstockholm01 (4/7),0,305,C Karl-Anthony Towns SG Tyreke Evans SF Khris Middleton UTIL Myles Turner PG Eric Bledsoe G Shabazz Napier F Wayne Ellington PF Brandan Wright,,Marco Belinelli,G,2.15%,4.75
