"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Terrence Ross_ORL",NA,NA,13.25,NA,0,NA,0,NA
"Michael Carter-Williams_CHA",NA,NA,21.5,NA,29,NA,8.25,NA
"Marvin Williams_CHA",NA,NA,15.25,NA,29.5,NA,17.25,NA
"Patrick McCaw_GS",40.25,NA,0,NA,18.25,NA,7,NA
"Nick Young_GS",8.75,NA,11.5,NA,3.5,NA,8.25,NA
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA
"Thon Maker_MIL",NA,14.25,NA,6.5,NA,12.25,1.25,NA
"Stanley Johnson_DET",NA,NA,12.75,NA,10,16,34,NA
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75,22,NA
"Juancho Hernangomez_DEN",NA,0,NA,0,NA,0,0,NA
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA
"Wayne Ellington_MIA",NA,11,8.75,NA,26.5,NA,NA,NA
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA
"Daniel Theis_BOS",NA,NA,NA,21.5,NA,12,8.75,NA
"Aron Baynes_BOS",NA,NA,NA,10.5,NA,11.75,20,NA
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA,24,14,NA
"Malcolm Delaney_ATL",NA,NA,NA,0,NA,0,7,NA
"Miles Plumlee_ATL",NA,NA,NA,0,NA,22.25,11.75,NA
"Guillermo Hernangomez_NY",NA,NA,0,NA,NA,NA,0,NA
"Damyean Dotson_NY",NA,NA,0,NA,NA,NA,0,NA
"Cody Zeller_CHA",NA,NA,12,NA,26.75,NA,14.75,NA
"David West_GS",22.25,NA,0,NA,14.75,NA,21,NA
"Dante Cunningham_NO",NA,NA,10.5,NA,4.75,26,26.75,NA
"Cory Joseph_IND",NA,NA,3.5,NA,18.5,NA,22.25,NA
"Paul Zipser_CHI",NA,6.5,NA,17.5,24.25,NA,4,NA
"Iman Shumpert_CLE",NA,0,NA,0,NA,0,0,NA
"Jonathan Isaac_ORL",NA,NA,0,NA,0,NA,0,NA
"Mike Muscala_ATL",NA,NA,NA,0,NA,0,0,NA
"Ben McLemore_MEM",NA,NA,17.75,NA,22.5,15,10.75,NA
"Frank Ntilikina_NY",NA,NA,0,NA,NA,NA,0,NA
