"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22","2017-12-23"
"Ron Baker_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Alex Abrines_OKC",NA,NA,0,NA,0,NA,NA,5.25,NA,NA,24,NA,3.25,NA,9,0.5,9.25
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA,13.25,12.75,NA,3.25,6.5,0,NA,NA,NA
"Zaza Pachulia_GS",13.75,NA,23,NA,23.5,NA,0,NA,3.25,NA,NA,0,NA,NA,0,0,0
"Nick Young_GS",8.75,NA,11.5,NA,3.5,NA,8.25,NA,14.25,NA,NA,0,NA,NA,18.5,10.5,8.25
"Semi Ojeleye_BOS",NA,NA,NA,5,NA,9.5,2.5,NA,3.75,NA,9.25,NA,0,NA,1.25,NA,8.25
"Ivica Zubac_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"Patrick Patterson_OKC",NA,NA,0,NA,9.25,NA,NA,9.75,NA,NA,11.75,NA,28.25,NA,9.25,8.75,13.5
"Luc Richard Mbah a Moute_HOU",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA
"JaVale McGee_GS",10,NA,0,NA,0,NA,15,NA,9.25,NA,NA,2,NA,NA,13,0,3.5
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA,7.5,0.5,NA,25.5,17.75,NA,NA,6.5,NA,15,20
"Ramon Sessions_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Raymond Felton_OKC",NA,NA,12.5,NA,6.25,NA,NA,3,NA,NA,18.75,NA,14.75,NA,17.75,14.75,7.5
"Quinn Cook_GS",0,NA,0,NA,0,NA,0,NA,16.75,NA,NA,6,NA,NA,13,0,3.5
"Sheldon Mac_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,0,0
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA,9.25,0,NA,0,0,NA,NA,0,NA,7.25,7.75
"Devin Robinson_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,0,0
"Jason Smith_WAS",NA,0,0,NA,0,NA,4.5,0,NA,18.75,11,NA,NA,0,NA,15,4.5
"Mike Young_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,0,0
"Jabari Bird_BOS",NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0
"Guerschon Yabusele_BOS",NA,NA,NA,0,NA,0,0,NA,10.5,NA,0,NA,0,NA,10.75,NA,0
"Kadeem Allen_BOS",NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0
"Abdel Nader_BOS",NA,NA,NA,0,NA,0,0,NA,7.5,NA,0,NA,0,NA,0,NA,6.5
"Gordon Hayward_BOS",NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,0
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,4,0,NA,0,NA,0
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,7.75,4,NA,0,NA,4.5
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA,0,0,NA,7.75,0,NA,0,NA,0
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,0
"Thomas Bryant_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"Vander Blue_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"Tyler Ennis_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"Luol Deng_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"Andrew Bogut_LAL",0,NA,6,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,6.75,11.25,11.5
"Alex Caruso_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0
"Jacob Pullen_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Justin Anderson_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"James Michael McAdoo_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Furkan Korkmaz_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Luke Kornet_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Isaiah Hicks_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Joakim Noah_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
