Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
65,974261087,uscsteve,0,309.5,UTIL James Harden C Andre Drummond G Elfrid Payton F Marcus Smart PG Ish Smith PF Ryan Anderson SF Reggie Bullock SG Tyus Jones,,Shane Larkin,G,0.49%,6.25
65,974350202,nomoreiloveyous (25/25),0,309.5,C Andre Drummond SG Jimmy Butler UTIL CJ McCollum G Elfrid Payton PF Jayson Tatum SF Marcus Smart PG Ish Smith F Ed Davis,,Manu Ginobili,SF,0.47%,6.25
65,974405836,jrodjr918,0,309.5,SG Jimmy Butler G Eric Bledsoe PG Elfrid Payton PF Pau Gasol SF Tobias Harris C Dario Saric F Courtney Lee UTIL Shabazz Napier,,Marreese Speights,PF,0.45%,26.75
68,974429401,Kobe4MVP (1/150),0,309.25,PG James Harden C Andre Drummond G Eric Gordon F Trevor Ariza SF Marcus Smart UTIL Ish Smith PF Bismack Biyombo SG Tyus Jones,,Tony Snell,F,0.45%,10.5
68,974431207,Redman910 (2/2),0,309.25,SG James Harden F Al Horford UTIL CJ McCollum PF Pau Gasol SF Jayson Tatum C Bismack Biyombo G Shabazz Napier PG Tyus Jones,,Jarrett Jack,G,0.40%,20.5
70,974268520,rsbathla (76/150),0,309,SG James Harden C Andre Drummond SF Tobias Harris F Marcus Smart PG Ish Smith PF Bismack Biyombo UTIL Terry Rozier G Tyus Jones,,Tarik Black,F,0.40%,9.25
70,974350193,nomoreiloveyous (16/25),0,309,C Andre Drummond G Kyrie Irving UTIL Eric Bledsoe PF Tobias Harris F Jayson Tatum SF Marcus Smart PG Ish Smith SG Tyus Jones,,Mario Hezonja,UTIL,0.38%,8.75
70,974616794,chess_is_ok (39/150),0,309,PG James Harden C Karl-Anthony Towns UTIL Elfrid Payton SF Jayson Tatum F Marcus Smart PF Bismack Biyombo SG Shabazz Napier G Tyus Jones,,Pat Connaughton,G,0.38%,17.5
70,974661116,Staal12 (2/3),0,309,G James Harden SG Jimmy Butler PF Al Horford UTIL Eric Bledsoe C Bismack Biyombo F Michael Beasley SF Reggie Bullock PG Tyus Jones,,Aron Baynes,C,0.34%,5.75
74,974306358,Jazzraz (2/4),0,308.75,G James Harden C Andre Drummond F Tobias Harris SF Marcus Smart UTIL Ish Smith PF Ryan Anderson PG Shabazz Napier SG Tyus Jones,,Richaun Holmes,PF,0.25%,0
74,974529210,papagates (107/150),0,308.75,C Andre Drummond PF Kristaps Porzingis SG Eric Bledsoe PG Elfrid Payton F JJ Redick SF Marcus Smart G Malcolm Brogdon UTIL Frank Ntilikina,,Luke Kennard,SG,0.21%,9.5
74,974678883,knelso12,0,308.75,UTIL James Harden C Karl-Anthony Towns G CJ McCollum PF Jayson Tatum PG Ish Smith F Bismack Biyombo SF Kyle Anderson SG Tyus Jones,,Trevor Booker,F,0.13%,9.5
77,974124801,EmileHeskey (20/150),0,308.25,C Andre Drummond PG Kyrie Irving SG Jimmy Butler UTIL Jusuf Nurkic PF Jayson Tatum SF Marcus Smart F Bismack Biyombo G Tyus Jones,,Lance Thomas,SF,0.13%,7
77,974124829,EmileHeskey (48/150),0,308.25,SG James Harden UTIL CJ McCollum PF Tobias Harris C Jusuf Nurkic SF Trevor Ariza F Marcus Smart PG Ish Smith G Tyus Jones,,Timothé Luwawu-Cabarrot,G,0.13%,0
77,974167627,rikkidee (48/75),0,308.25,C Andre Drummond UTIL Kristaps Porzingis SG Eric Bledsoe PF Tobias Harris SF Evan Fournier F Marcus Smart PG Ish Smith G Tyus Jones,,Eric Moreland,F,0.13%,4.5
77,974326207,ChipotleAddict (69/150),0,308.25,SG James Harden C Andre Drummond SF Andrew Wiggins UTIL Jayson Tatum PG Ish Smith F Ryan Anderson PF Bismack Biyombo G Frank Ntilikina,,Marcus Morris,F,0.13%,16.5
77,974387605,Awesemo (18/150),0,308.25,SG James Harden UTIL CJ McCollum PF Tobias Harris C Jusuf Nurkic SF Trevor Ariza F Marcus Smart PG Ish Smith G Tyus Jones,,Patty Mills,PG,0.11%,16.25
77,974529133,papagates (30/150),0,308.25,C Karl-Anthony Towns PF Kristaps Porzingis PG Eric Bledsoe UTIL CJ McCollum F Jayson Tatum SF Marcus Smart SG Malcolm Brogdon G Frank Ntilikina,,Danny Green,SG,0.11%,25
77,974646863,bellaedward4eva (142/150),0,308.25,SG James Harden C Andre Drummond PG Eric Bledsoe PF Dario Saric SF Marcus Smart F Reggie Bullock UTIL Zach Collins G Tyus Jones,,Jerryd Bayless,SG,0.08%,4
84,974167603,rikkidee (24/75),0,308,SG James Harden F Kristaps Porzingis UTIL CJ McCollum PF Jayson Tatum SF Marcus Smart PG Ish Smith C John Henson G Tyus Jones,,Thon Maker,F,0.08%,9.75
84,974387614,Awesemo (27/150),0,308,G James Harden SG Jimmy Butler SF Tobias Harris C Jusuf Nurkic F Marcus Smart PG Ish Smith PF Bismack Biyombo UTIL Tyus Jones,,Matthew Dellavedova,G,0.06%,6.5
84,974612769,rmakis22 (1/3),0,308,SG James Harden G Jimmy Butler PF Tobias Harris C Jusuf Nurkic SF Marcus Smart UTIL Ish Smith F Bismack Biyombo PG Tyus Jones,,Davis Bertans,UTIL,0.04%,0
84,974674453,Sneak40oz (4/4),0,308,C Karl-Anthony Towns F Ben Simmons PG Elfrid Payton UTIL Pau Gasol PF Dario Saric SF Marcus Smart G Shabazz Napier SG Tyus Jones,,Nemanja Bjelica,F,0.04%,-1
88,974300130,darcmaniluk (45/150),0,307.75,PG James Harden C Joel Embiid SG Eric Gordon SF Andrew Wiggins F Marcus Smart PF Bismack Biyombo UTIL Shabazz Napier G Tyus Jones,,D.J. Augustin,PG,0.04%,10
88,974387642,Awesemo (55/150),0,307.75,C Andre Drummond PG Kyrie Irving SG Jimmy Butler UTIL Jusuf Nurkic SF Evan Fournier F Marcus Smart PF Bismack Biyombo G Tyus Jones,,Jaylen Brown,SF,0.02%,0
88,974529166,papagates (63/150),0,307.75,PF Kristaps Porzingis G Eric Bledsoe UTIL CJ McCollum PG Elfrid Payton SG Eric Gordon F Jayson Tatum SF Marcus Smart C John Henson,,Joffrey Lauvergne,PF,0.02%,0
91,974387737,Awesemo (150/150),0,307.5,SG James Harden C Andre Drummond UTIL Jusuf Nurkic SF Marcus Smart PG Ish Smith F Al-Farouq Aminu PF Bismack Biyombo G Tyus Jones,,Amir Johnson,F,0.02%,7.25
91,974529104,papagates (1/150),0,307.5,C Andre Drummond G Eric Bledsoe PG Elfrid Payton SG Eric Gordon PF Jayson Tatum SF Evan Fournier F Marcus Smart UTIL Courtney Lee,,Bryn Forbes,SG,0.02%,15
91,974666967,jeffylube (2/6),0,307.5,SG James Harden UTIL Jimmy Butler PF Tobias Harris C Dario Saric SF Evan Fournier G Ish Smith F Bismack Biyombo PG Tyus Jones,,Shabazz Muhammad,SG,0.02%,0
94,974705908,timmytupa,0,307.25,G James Harden UTIL Elfrid Payton F Pau Gasol SF Tobias Harris PF Jayson Tatum PG Ish Smith C Bismack Biyombo SG Tyus Jones,,Meyers Leonard,UTIL,0.02%,0.75
95,974616767,chess_is_ok (12/150),0,307,PG James Harden C Andre Drummond SF Tobias Harris PF Jayson Tatum G Ish Smith F Kyle Anderson SG Shabazz Napier UTIL Tyus Jones,,Zhou Qi,F,0.02%,0
96,974300234,darcmaniluk (149/150),0,306.75,PG James Harden C Andre Drummond SG Jimmy Butler F Marcus Smart PF Bismack Biyombo UTIL Shabazz Napier SF Stanley Johnson G Tyus Jones,,Justin Anderson,G,0.02%,0
96,974335210,stephen218,0,306.75,PG James Harden C Karl-Anthony Towns SG Eric Gordon PF Jayson Tatum SF Trevor Ariza UTIL Marcus Smart F Michael Beasley G Tyus Jones,,Aaron Brooks,UTIL,0.02%,3.5
96,974616817,chess_is_ok (62/150),0,306.75,PG James Harden C Andre Drummond SF Tobias Harris PF Jayson Tatum F Marcus Smart UTIL Kyle Anderson SG Shabazz Napier G Tyus Jones,,Dejounte Murray,G,0.02%,10.75
99,974241370,babynawdsies13,0,306.5,SG James Harden C Andre Drummond G Eric Gordon PF Jayson Tatum PG Ish Smith SF Courtney Lee F Bismack Biyombo UTIL Tyus Jones,,,
99,974268507,rsbathla (63/150),0,306.5,UTIL James Harden C Andre Drummond F Taj Gibson SF Jayson Tatum SG Marcus Smart PG Ish Smith PF Bismack Biyombo G Tyus Jones,,,
99,974429484,Kobe4MVP (84/150),0,306.5,PG James Harden C Andre Drummond SG Eric Gordon PF Jayson Tatum G Ish Smith SF Courtney Lee F Bismack Biyombo UTIL Tyus Jones,,,
99,974646857,bellaedward4eva (136/150),0,306.5,SG James Harden C Andre Drummond SF Khris Middleton PF Dario Saric G Ish Smith PG T.J. McConnell UTIL Tyus Jones F Pat Connaughton,,,
103,974429451,Kobe4MVP (51/150),0,306.25,C Andre Drummond G Jimmy Butler F Pau Gasol PF Tobias Harris UTIL Eric Gordon SF Marcus Smart PG Ish Smith SG Tyus Jones,,,
104,974261778,mavsdirty41,0,306,C Joel Embiid UTIL Jimmy Butler PG Elfrid Payton SG Eric Gordon SF Jayson Tatum F Marcus Smart G Ish Smith PF Bismack Biyombo,,,
104,974407007,kdwillwin (1/6),0,306,G James Harden UTIL Jimmy Butler F Dario Saric SG Eric Gordon SF Andrew Wiggins PF Jayson Tatum C Bismack Biyombo PG Tyus Jones,,,
104,974529165,papagates (62/150),0,306,C Andre Drummond G Jimmy Butler PG Eric Bledsoe SG Eric Gordon F Jayson Tatum SF Marcus Smart UTIL Malcolm Brogdon PF Bismack Biyombo,,,
104,974673821,baiosblackbook,0,306,UTIL Jimmy Butler SG Eric Bledsoe C Pau Gasol SF Tobias Harris PF Dario Saric G Eric Gordon F JJ Redick PG Ish Smith,,,
108,974148172,fclark76 (1/10),0,305.75,SG James Harden C Andre Drummond PF Kristaps Porzingis PG Ish Smith F Bismack Biyombo G Terry Rozier SF Reggie Bullock UTIL Tyus Jones,,,
108,974256968,pianoclub (22/150),0,305.75,PG James Harden SF Aaron Gordon G Eric Bledsoe C Jusuf Nurkic F Evan Fournier PF Bismack Biyombo UTIL Shabazz Napier SG Tyus Jones,,,
108,974429425,Kobe4MVP (25/150),0,305.75,G James Harden C Andre Drummond F Kristaps Porzingis UTIL Ish Smith PF Bismack Biyombo PG Terry Rozier SF Reggie Bullock SG Tyus Jones,,,
108,974529203,papagates (100/150),0,305.75,C Andre Drummond PF Kristaps Porzingis SG Jimmy Butler PG Elfrid Payton SF Evan Fournier G Marcus Smart F Reggie Bullock UTIL Frank Ntilikina,,,
108,974612212,boatmoney (2/6),0,305.75,SG Jimmy Butler G Eric Bledsoe UTIL Elfrid Payton F Pau Gasol SF Tobias Harris PF Jayson Tatum PG Ish Smith C Bismack Biyombo,,,
