"Kevin Durant_GS","Stephen Curry_GS","Damian Lillard_POR","Draymond Green_GS","Nikola Jokic_DEN","Klay Thompson_GS","Lonzo Ball_LAL","CJ McCollum_POR","Brandon Ingram_LAL","Paul Millsap_DEN","Jusuf Nurkic_POR","Kyle Kuzma_LAL","Gary Harris_DEN","Will Barton_DEN","Kentavious Caldwell-Pope_LAL","Jamal Murray_DEN","Julius Randle_LAL","Larry Nance_LAL","Jordan Clarkson_LAL","Omri Casspi_GS","Al-Farouq Aminu_POR","Trey Lyles_DEN","Wilson Chandler_DEN","Brook Lopez_LAL","Jordan Bell_GS","Mason Plumlee_DEN","Shabazz Napier_POR","Andre Iguodala_GS","Josh Hart_LAL","Evan Turner_POR","Ed Davis_POR","Emmanuel Mudiay_DEN","Patrick McCaw_GS","Torrey Craig_DEN","Shaun Livingston_GS","Corey Brewer_LAL","Kenneth Faried_DEN","David West_GS","Kevon Looney_GS","Maurice Harkless_POR","Zach Collins_POR","Zaza Pachulia_GS","Nick Young_GS","Pat Connaughton_POR","Juancho Hernangomez_DEN","JaVale McGee_GS","Ivica Zubac_LAL","Meyers Leonard_POR","Noah Vonleh_POR","Malik Beasley_DEN","Caleb Swanigan_POR","Quinn Cook_GS","Luol Deng_LAL","Andrew Bogut_LAL","Vander Blue_LAL","Alex Caruso_LAL","Damian Jones_GS","Tyler Ennis_LAL","Thomas Bryant_LAL","Chris Boucher_GS","Richard Jefferson_DEN","Darrell Arthur_DEN","CJ Wilcox_POR","Jake Layman_POR","Monte Morris_DEN","Wade Baldwin IV_POR","Tyler Lydon_DEN"
-292.928571428571,-131.592261904762,0,0.72172619047619,0,52.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7410714285714,0,0,0,0,-11.9032738095238,0,0,-69.9627976190476,0,0,0,0,216.764880952381,0,24.2008928571429,0,0,46.9553571428571,-19.1517857142857,0,0,16.3080357142857,4.19791666666667,0,0,25.8363095238095,0,0,0,0,0,-22.4077380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,72.3214285714286,0,0,0,0,0,0,0,-94.1964285714286,-12.5,0,34.1071428571429,0,0,0,0,0,-12.0535714285714,40.8928571428571,0,0,49.4642857142857,0,0,0,0,0,-37.0535714285714,0,50,0,0,-53.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,-8.125,0,0,0,0,0,0,0,0,0,0,-4.55357142857143,-2.67857142857143,0,0,0,0,0
-32.6711309523809,-65.7663690476191,0,-8.58482142857143,0,-7.06994047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9732142857143,0,0,0,0,8.69642857142857,0,0,21.2261904761905,0,0,0,0,24.2008928571429,0,27.6964285714286,0,0,2.1889880952381,-6.59077380952381,0,0,18.5803571428571,-12.2916666666667,0,0,-12.5848214285714,0,0,0,0,0,-7.46279761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-6.35416666666667,0,1.6875,0,0,175.320833333333,0,0,-115.316666666667,0,-103.095833333333,83.8333333333333,-81.0041666666667,0,0,0,0,-117.733333333333,0,0,0,0,64.1375,0,0,0,0,0,0,181.841666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-52.2678571428571,0,0,0,0,0,0,0,106.375,74.2232142857143,0,-82.5982142857143,0,0,0,0,0,-4.47321428571429,-104.955357142857,0,0,-76.8125,0,0,0,0,0,65.2321428571429,0,-53.5714285714286,0,0,164.214285714286,0,0,0,0,0,0,0,0,0,0,0,0,-30.3125,0,0,0,0,0,0,0,0,0,0,19.4107142857143,-20.0892857142857,0,0,0,0,0
-20.3184523809524,-110.014880952381,0,-98.9776785714286,0,13.1949404761905,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8601190476191,0,0,0,0,2.07440476190476,0,0,19.2113095238095,0,0,0,0,46.9553571428571,0,2.1889880952381,0,0,64.5297619047619,-22.1800595238095,0,0,-62.4553571428571,-7.625,0,0,29.3348214285714,0,0,0,0,0,18.9627976190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.7380952380952,-10.9151785714286,0,-16.7470238095238,0,0.337797619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.6235119047619,0,0,0,0,-2.33035714285714,0,0,-13.0877976190476,0,0,0,0,-19.1517857142857,0,-6.59077380952381,0,0,-22.1800595238095,17.452380952381,0,0,5.75595238095238,18.0625,0,0,-3.25744047619048,0,0,0,0,0,10.8526785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.475,0,0,0,0,5.225,0,0,15.31875,0,0,0,0,0,0,0,0,0,17.2625,0,0,0,0,0,-26.9125,0,0,-7.725,-21.60625,0,0,0,0,0,0,0,0,14.64375,-6.65625,0,0,-9.65,0,0,0,-15.65625,-0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-28.7416666666667,0,0,0,0,29,0,0,-72.4395833333333,0,0,0,0,0,0,0,0,0,13.5958333333333,0,0,0,0,0,0.00416666666666667,0,0,23.6583333333333,45.09375,0,0,0,0,0,0,0,0,-6.65625,53.3104166666667,0,0,-20.9083333333333,0,0,0,-43.0645833333333,-34.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-63.7693452380952,138.988095238095,0,161.85119047619,0,-0.712797619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.2723214285714,0,0,0,0,14.7886904761905,0,0,-43.6413690476191,0,0,0,0,16.3080357142857,0,18.5803571428571,0,0,-62.4553571428571,5.75595238095238,0,0,117.473214285714,-12.3333333333333,0,0,-46.5342261904762,0,0,0,0,0,-44.9776785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13.875,-43.6979166666667,0,-32.3958333333333,0,8.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.0520833333333,0,0,0,0,-28.1041666666667,0,0,-7.42708333333333,0,0,0,0,4.19791666666667,0,-12.2916666666667,0,0,-7.625,18.0625,0,0,-12.3333333333333,39.25,0,0,21.3333333333333,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38.9083333333333,0,0,0,0,-19.725,0,0,-10.8708333333333,0,0,0,0,0,0,0,0,0,-33.4916666666667,0,0,0,0,0,41.2291666666667,0,0,-19.8041666666667,-12.3125,0,0,0,0,0,0,0,0,-9.65,-20.9083333333333,0,0,37.2416666666667,0,0,0,59.0916666666667,35.3041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48.9002976190476,-34.8809523809524,0,-19.8139880952381,0,6.97172619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.922619047619,0,0,0,0,-38.8035714285714,0,0,15.8928571428571,0,0,0,0,25.8363095238095,0,-12.5848214285714,0,0,29.3348214285714,-3.25744047619048,0,0,-46.5342261904762,21.3333333333333,0,0,39.5089285714286,0,0,0,0,0,14.0684523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,43.7583333333333,0,0,0,0,-32.5,0,0,-15.8770833333333,0,0,0,0,0,0,0,0,0,-39.1541666666667,0,0,0,0,0,78.0666666666667,0,0,-30.4041666666667,-14.34375,0,0,0,0,0,0,0,0,-15.65625,-43.0645833333333,0,0,59.0916666666667,0,0,0,103.685416666667,54.2291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,48.8083333333333,0,0,0,0,-23.5125,0,0,33.7041666666667,0,0,0,0,0,0,0,0,0,-45.9166666666667,0,0,0,0,0,17.5916666666667,0,0,-22.3916666666667,-40.4,0,0,0,0,0,0,0,0,-0.85,-34.5833333333333,0,0,35.3041666666667,0,0,0,54.2291666666667,45.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-29.8950892857143,0,0,0,0,0,0,0,26.6819196428571,-46.3080357142857,0,15.1272321428571,0,0,0,0,0,13.3426339285714,38.9977678571429,0,0,-11.9308035714286,0,0,0,0,0,1.44977678571429,0,-8.125,0,0,-30.3125,0,0,0,0,0,0,0,0,0,0,0,0,30.5703125,0,0,0,0,0,0,0,0,0,0,-13.3761160714286,5.52455357142857,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.9657738095238,-131.934523809524,0,-152.150297619048,0,7.62351190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7321428571429,0,0,0,0,10.0059523809524,0,0,8.92857142857143,0,0,0,0,-22.4077380952381,0,-7.46279761904762,0,0,18.9627976190476,10.8526785714286,0,0,-44.9776785714286,24.75,0,0,14.0684523809524,0,0,0,0,0,50.4970238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.98125,0,19.74375,0,0,5.75,0,0,-17.89375,0,-8.8625,10.4,-0.64375,0,0,0,0,-23.9375,0,0,0,0,2.9625,0,0,0,0,0,0,26.5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89375,0,0,0,0,0,0,0,0,0,0,0,0,0
