Contest_Date,Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val
20171127,Pau Gasol,PF/CPFC,SAS,vs DAL,11th,101.75,6000,15.8,45.2,29.4,1.2,20.6,8.4,24.5,24.07,28.4,28.4,%,71,4.7,34.0,42.0,7.0
20171127,Thaddeus Young,SF/PFSFPF,IND,vs ORL,20th,110.5,6000,17.7,44.6,28.0,0.85,18.3,12.0,33.0,33.7,29.22,29.22,%,73,4.9,29.0,19.75,3.3
20171127,Evan Fournier,SG/SFSGSF,ORL,@ IND,1st,106.5,5900,8.7,41.8,29.9,0.96,24.1,13.8,31.2,30.6,22.89,22.89,%,68,3.9,36.0,21.0,3.6
20171127,Jayson Tatum,SF/PFSFPF,BOS,vs DET,23rd,102.5,5800,12.5,41.2,26.4,0.88,18.7,9.3,29.9,31.11,24.79,24.79,%,69,4.3,34.0,22.25,3.8
20171127,Avery Bradley,PG/SGPGSG,DET,@ BOS,4th,96.5,5700,12.6,39.5,26.3,0.85,25.8,14.2,31.0,32.2,24.12,24.12,%,71,4.2,37.0,24.5,4.3
20171127,Reggie Jackson,PG,DET,@ BOS,14th,96.5,5600,18.2,44.4,29.0,1.06,25.2,12.2,27.4,28.8,29.4,29.4,%,74,5.3,28.0,33.0,5.9
20171127,Domantas Sabonis,PF/CPFC,IND,vs ORL,20th,110.5,5600,16.2,46.2,28.4,1.12,22.1,8.8,25.3,24.75,29.08,29.08,%,70,5.2,26.0,36.0,6.4
20171127,Harrison Barnes,SF/PFSFPF,DAL,@ SAS,22nd,92.75,5500,23.0,49.9,32.4,0.93,25.2,15.6,34.9,34.27,34.54,34.54,%,76,6.3,35.0,28.5,5.2
20171127,Brook Lopez,C,LAL,@ LAC,26th,106.25,5500,11.8,55.1,27.4,1.17,26.0,11.8,23.4,21.78,30.38,30.38,%,55,5.5,16.0,11.75,2.1
20171127,Zach Randolph,PF/CPFC,SAC,@ GSW,15th,96.0,5400,12.2,48.2,25.3,1.05,26.6,11.5,24.0,25.39,27.65,27.65,%,59,5.1,21.0,23.0,4.3
