Contest_Date,Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
2017-11-27,P.J. Tucker,1.0,,SF/PF,3700,HOU,BKN,1,,10.0,10.0,107,108,-2%,4,5,5,32,29,29,20.1,19.7,13.3,26.1,24.0,17.2,4.6,21.0,17.5,4.7
2017-11-27,Joakim Noah,,Q,C,3700,NYK,POR,1,,,,99,100,-12%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.3,1.4
2017-11-27,Manu Ginobili,,,SG/SF,3700,SAS,DAL,1,,22.0,11.0,98,106,-2%,6,6,7,16,19,20,12.8,15.8,8.6,22.9,18.5,16.0,4.3,16.9,2.3,0.6
2017-11-27,Bryn Forbes,,,PG/SG,3700,SAS,DAL,1,,17.0,11.0,98,106,-2%,6,5,5,17,17,15,8.3,9.5,1.2,17.9,17.0,10.5,2.8,19.0,13.8,3.7
2017-11-27,Michael Beasley,1.0,,SF/PF,3700,NYK,POR,1,,25.0,14.0,99,100,3%,13,9,6,20,19,14,20.1,12.7,1.8,23.6,0.0,0.0,0.0,14.4,15.3,4.1
2017-11-27,Shabazz Napier,,,PG/SG,3700,POR,@NYK,1,108.0,18.0,18.0,99,106,9%,5,7,5,17,22,16,16.6,13.7,3.3,24.1,20.0,16.3,4.4,18.1,17.0,4.6
2017-11-27,D.J. Augustin,,,PG/SG,3700,ORL,@IND,1,,18.0,15.0,101,106,-1%,7,5,5,15,17,20,11.9,17.6,7.6,27.6,16.0,11.7,3.2,21.8,17.8,4.8
2017-11-27,Bogdan Bogdanovic,,,SG/SF,3700,SAC,@GSW,1,94.0,19.0,12.0,105,100,-4%,9,10,9,25,25,24,18.6,17.6,12.2,23.0,24.0,17.1,4.6,21.9,18.0,4.9
2017-11-27,Jerryd Bayless,1.0,,PG/SG,3600,PHI,CLE,1,109.0,14.0,9.0,101,109,11%,7,7,8,23,29,30,18.8,19.0,12.0,26.1,20.5,13.8,3.8,21.2,6.8,1.9
2017-11-27,Joe Harris,16.0,,SG/SF,3600,BKN,@HOU,0,111.0,16.0,15.0,102,102,8%,8,8,8,29,26,23,22.4,18.2,10.4,26.0,35.0,26.7,7.4,28.2,16.5,4.6
2017-11-27,Kyle Korver,,,SG/SF,3600,CLE,@PHI,2,109.0,16.0,17.0,105,102,5%,9,7,8,27,24,22,16.9,18.3,9.8,26.8,22.5,16.6,4.6,21.3,15.3,4.3
2017-11-27,Iman Shumpert,,,PG/SG,3600,CLE,@PHI,2,109.0,13.0,7.0,105,102,5%,5,5,5,23,27,22,15.1,13.2,3.2,23.2,17.0,10.2,2.8,6.9,0.0,0.0
